YEAR,Rainfall in June
1901,22.7
1902,59.9
1903,26.2
1904,53.4
1905,23.1
1906,91.8
1907,41.4
1908,41.1
1909,125
1910,116.9
1911,78
1912,31.8
1913,120.2
1914,75.3
1915,54.5
1916,132.3
1917,138
1918,68.8
1919,42.9
1920,82.6
1921,76.8
1922,72.9
1923,23
1924,19.6
1925,142.5
1926,17.7
1927,39
1928,48.9
1929,69.9
1930,62.9
1931,17.9
1932,38.9
1933,134
1934,101.1
1935,30
1936,157.8
1937,70.8
1938,154
1939,83.3
1940,66.9
1941,78.3
1942,65.3
1943,48.5
1944,62.8
1945,61.1
1946,92.1
1947,37.1
1948,42.9
1949,38.8
1950,53.5
1951,48.8
1952,117
1953,92.9
1954,35
1955,76.9
1956,82.8
1957,57
1958,35.8
1959,29.6
1960,49.1
1961,84.6
1962,42.7
1963,58
1964,52.2
1965,22.1
1966,112.6
1967,58.4
1968,
1969,26.4
1970,108.9
1971,161
1972,42.9
1973,78.6
1974,71.3
1975,106.3
1976,76.6
1977,88.4
1978,120.1
1979,52.5
1980,115.4
1981,77.5
1982,55.2
1983,67
1984,113
1985,50.9
1986,78.1
1986,78.1
1987,56
1988,75.9
1989,72.3
1990,64.3
1991,54.5
1992,35.3
1993,100.9
1994,83.4
1995,54.8
1996,
1997,87.1
1998,75.8
1999,
2000,110.7
2001,140.8
2001,140.8
2002,
2003,72
2004,79.7
2005,51.8
2006,76.4
2007,88.1
2008,157.6
2009,35.8
2010,54.2
2011,119.5
2012,21.7
2013,155
2014,31.3
2015,90.6
